DEP,DES,WAKE,EET
ZBAA,YSSY,H,1043
ZBTX,ZBTX,M,0300
ZBTJ,ZSAM,M,0221
ZGGG,UUEE,H,1028
EDDT,ZBAA,H,0831
ZJSY,UIAA,M,0523
ZBDH,ZSQD,M,0045
ZSAM,ZBAA,H,0217
ZGKL,ZBSJ,M,0215
WIII,ZBAA,H,0646
ZSOF,ZBSJ,M,0124
ZSPD,ZLIC,M,0250
ZYHB,ZPPP,M,0431
ZGHA,ZYTX,M,0245
ZBAA,ZWWW,M,0353
ZSPD,ZLHZ,M,0218
ZBXJ,ZGHA,M,0146
ZBNY,ZUDZ,M,0300
ZGHY,ZBDS,M,0224
ZWWW,ZBHH,M,0250
ZBDH,ZSPD,M,0152
ZSJN,ZSQZ,M,0156
EBBR,ZBAA,H,0919
KSJC,ZBAA,H,1141
KSFO,ZBAA,H,1149
ZSWH,ZLXY,M,0209
ZJHK,ZSJN,M,0249
ZBXH,ZBHH,M,0048
ZBYC,ZYHB,M,0222
ZBOW,ZBAA,M,0108
ZYCC,ZHCC,M,0232
UHWW,VTSP,M,0736
ZSJN,VVCR,M,0412
ZSPD,ZBTJ,M,0150
ZHCC,ZBCF,M,0143
