DEP,DES,WAKE,EET
ZGNN,ZBAA,M,0315
ZGGG,ZBAA,H,0233
ZBAA,ZSAM,M,0230
ZBAA,UKBB,H,0946
ZYTX,ZHXF,M,0227
ZBNY,ZSSS,M,0133
LIMC,RKSI,H,1011
ZBYC,ZWWW,M,0336
ZUCK,ZYTX,M,0257
ZGGG,ZHLY,M,0202
ZGSZ,ZYCC,M,0401
ZBAA,ZYMD,M,0140
ZSNT,ZHLY,M,0135
ZLLL,ZGYY,M,0202
UHHH,ZJSY,M,0635
ZUCK,RKSI,M,0311
USSS,ZSPD,H,0613
ZSJN,ZUGU,M,0150
ZBNY,ZSSF,M,0300
OTHH,RKSI,H,0805
ZSJG,ZBHH,M,0142
ZBAA,YBBN,H,1003
ZSLQ,ZBAA,M,0221
ZHCC,ZSWZ,M,0149
ZBNY,ZSRZ,M,0101
ZHCC,ZSWX,M,0108
ZJSY,ZBTJ,M,0332
ZSHC,ZWWW,M,0508
ZSYT,ZLXY,M,0205
EDDF,ZGGG,H,1044
ZLXY,RKPK,M,0235
EDDP,RKSI,H,1035
